RouteID;KamyonAmb;TIRAmb;KamyonetAmb;KamyonTC;TIRTC;KamyonetTC
R1;1;1;0;1;1;0
R2;1;1;0;1;1;0
R3;1;1;1;1;1;1
R4;1;1;0;1;1;0
R5;1;1;0;1;1;0
R6;1;1;0;1;1;0
R7;1;1;0;1;1;0
R8;1;1;0;1;1;0
R9;1;1;0;1;1;0
R10;1;1;0;1;1;0
R11;1;1;0;1;1;0
R12;1;1;0;1;1;0
R13;1;1;0;1;1;0
R14;1;1;0;1;1;0
R15;1;1;0;1;1;0
R16;1;1;0;1;1;0
R17;1;1;0;1;1;0
R18;1;1;0;1;1;0
R19;1;1;0;1;1;0
R20;1;1;0;1;1;0
R21;1;1;0;1;1;0
R22;1;1;0;1;1;0
R23;1;1;0;1;1;0
R24;1;1;0;1;1;0
R25;1;1;0;1;1;0
R26;1;1;0;1;1;0
R27;1;1;0;1;1;0
R28;1;1;0;1;1;0
R29;1;1;0;1;1;0
R30;1;1;0;1;1;0
R31;1;1;0;1;1;0
R32;1;1;0;1;1;0
R33;1;1;0;1;1;0
R34;1;1;0;1;1;0
R35;1;1;0;1;1;0
R36;1;1;0;1;1;0
R37;1;1;0;1;1;0
R38;1;1;0;1;1;0
R39;1;1;0;1;1;0
R40;1;1;0;1;1;0
R41;1;1;0;1;1;0
R42;1;1;0;0;0;0
R43;1;1;0;1;1;0
R44;1;1;0;0;0;0
R45;1;1;0;1;1;0
R46;1;1;0;1;1;0
R47;1;1;0;1;1;0
R48;1;1;0;1;1;0
R49;1;1;0;1;1;0
R50;1;1;0;1;1;0
R51;1;1;0;1;1;0
R52;1;1;0;1;1;0
R53;1;1;0;1;1;0
R54;1;1;0;1;1;0
R55;1;1;0;1;1;0
R56;1;1;0;1;1;0
R57;1;1;0;1;1;0
R58;1;1;0;1;1;0
R59;1;1;0;1;1;0
R60;1;1;0;1;1;0
R61;1;1;0;1;1;0
R62;1;1;0;1;1;0
R63;1;1;0;1;1;0
R64;1;1;0;1;1;0
R65;1;1;0;1;1;0
R66;1;1;0;1;1;0
R67;1;1;0;1;1;0
R68;1;1;0;1;1;0
R69;1;1;0;1;1;0
R70;1;1;1;1;1;1
R71;1;1;0;1;1;0
R72;1;1;0;1;1;0
R73;1;1;0;1;1;0
R74;1;1;0;1;1;0
R75;1;1;0;1;1;0
R76;1;1;0;1;1;0
R77;1;1;0;1;1;0
R78;1;1;0;1;1;0
R79;1;1;0;1;1;0
R80;1;1;0;1;1;0
R81;1;1;0;1;1;0
R82;1;1;0;1;1;0
R83;1;1;0;1;1;0
R84;1;1;0;1;1;0
R85;1;1;0;1;1;0
R86;1;1;0;1;1;0
R87;1;1;0;1;1;0
R88;1;1;0;1;1;0
R89;1;1;0;1;1;0
R90;1;1;0;1;1;0
R91;1;1;0;1;1;0
R92;1;1;0;1;1;0
R93;1;1;0;1;1;0
R94;1;1;0;1;1;0
R95;1;1;0;1;1;0
R96;1;1;0;1;1;0
R97;1;1;0;1;1;0
R98;1;1;0;1;1;0
R99;1;1;0;1;1;0
R100;1;1;0;1;1;0
R101;1;1;0;1;1;0
R102;1;1;0;1;1;0
R103;1;1;0;1;1;0
R104;1;1;0;1;1;0
R105;1;1;0;1;1;0
R106;1;1;0;1;1;0
R107;1;1;0;1;1;0
R108;1;1;0;1;1;0
R109;1;1;0;1;1;0
R110;1;1;0;1;1;0
R111;1;1;0;1;1;0
R112;1;1;0;1;1;0
R113;1;1;0;1;1;0
R114;1;1;0;1;1;0
R115;1;1;0;1;1;0
R116;1;1;0;1;1;0
R117;1;1;0;1;1;0
R118;1;1;0;1;1;0
R119;1;1;0;1;1;0
R120;1;1;0;1;1;0
R121;1;1;0;1;1;0
R122;1;1;0;1;1;0
R123;1;1;0;1;1;0
R124;1;1;0;1;1;0
R125;1;1;0;1;1;0
R126;1;1;0;1;1;0
R127;1;1;0;1;1;0
R128;1;1;0;1;1;0
R129;1;1;0;1;1;0
R130;1;1;0;1;1;0
R131;1;1;0;1;1;0
R132;1;1;0;1;1;0
R133;1;1;0;1;1;0
R134;1;1;0;1;1;0
R135;1;1;0;1;1;0
R136;1;1;0;1;1;0
R137;1;1;0;1;1;0
R138;1;1;0;1;1;0
R139;1;1;0;1;1;0
R140;1;1;0;1;1;0
R141;1;1;0;1;1;0
R142;1;1;0;1;1;0
R143;1;1;0;1;1;0
R144;1;1;0;1;1;0
R145;1;1;0;1;1;0
R146;1;1;0;1;1;0
R147;1;1;0;1;1;0
R148;1;1;0;1;1;0
R149;1;1;0;1;1;0
R150;1;1;0;1;1;0
R151;1;1;0;1;1;0
R152;1;1;0;1;1;0
R153;1;1;0;1;1;0
R154;1;1;0;1;1;0
R155;1;1;0;1;1;0
R156;1;1;0;1;1;0
R157;1;1;0;1;1;0
R158;1;1;0;1;1;0
R159;1;1;0;1;1;0
R160;1;1;0;1;1;0
R161;1;1;0;1;1;0
R162;1;1;0;1;1;0
R163;1;1;0;1;1;0
R164;1;1;0;1;1;0
R165;1;1;0;1;1;0
R166;1;1;0;1;1;0
R167;1;1;0;1;1;0
R168;1;1;0;1;1;0
R169;1;1;0;1;1;0
R170;1;1;0;1;1;0
R171;1;1;0;1;1;0
R172;1;1;0;1;1;0
R173;1;1;0;1;1;0
R174;1;1;0;1;1;0
R175;1;1;0;1;1;0
R176;1;1;0;1;1;0
R177;1;1;0;1;1;0
R178;1;1;0;1;1;0
R179;1;1;0;1;1;0
R180;1;1;0;1;1;0
R181;1;1;0;1;1;0
R182;1;1;0;1;1;0
R183;1;1;0;1;1;0
R184;1;1;0;1;1;0
R185;1;1;0;1;1;0
R186;1;1;0;1;1;0
R187;1;1;0;1;1;0
R188;1;1;0;1;1;0
R189;1;1;0;1;1;0
R190;1;1;0;1;1;0
R191;1;1;0;1;1;0
R192;1;1;0;1;1;0
R193;1;1;0;1;1;0
R194;1;1;0;1;1;0
R195;1;1;0;1;1;0
R196;1;1;0;1;1;0
R197;1;1;0;1;1;0
R198;1;1;0;1;1;0
R199;1;1;0;1;1;0
R200;1;1;0;1;1;0
R201;1;1;0;1;1;0
R202;1;1;0;1;1;0
R203;1;1;0;1;1;0
R204;1;1;0;1;1;0
R205;1;1;0;1;1;0
R206;1;1;0;1;1;0
R207;1;1;0;1;1;0
R208;1;1;0;1;1;0
R209;1;1;0;1;1;0
R210;1;1;0;1;1;0
R211;1;1;0;1;1;0
R212;1;1;0;1;1;0
R213;1;1;0;1;1;0
R214;1;1;0;1;1;0
R215;1;1;0;1;1;0
R216;1;1;0;1;1;0
R217;1;1;0;1;1;0
R218;1;1;0;1;1;0
R219;1;1;0;1;1;0
R220;1;1;0;1;1;0
R221;1;1;0;1;1;0
R222;1;1;0;1;1;0
