RouteID;RouteName;DestinationCity;Kamyon AMB Cost;Týr AMB Cost;Kamyonet AMB Cost;Kamyon TC Cost;Týr TC Cost;Kamyonet TC Cost
R1;KOCAELÝBURSA;BURSA;687;998;10000;823;1153;10000
R2;YALOVABURSA;BURSA;687;998;10000;823;1153;10000
R3;KOCAELÝÝZMÝTSAKARYA;SAKARYA;512;732;414;705;1084;10000
R4;SAKARYADÜZCEBOLU;BOLU;864;1170;10000;1086;1499;10000
R5;DÜZCEBOLUZONGULDAK;ZONGULDAK;1392;1912;10000;1877;2770;10000
R6;BOLUZONGULDAKZ.EREÐLÝKARABÜK;KARABÜK;1386;1869;10000;1694;2526;10000
R7;BOLUZONGULDAKBARTIN;BARTIN;1357;2290;10000;1532;2546;10000
R8;DÜZCEBOLUÇANKIRI;ÇANKIRI;1557;2213;10000;1939;2375;10000
R9;BOLUÇANKIRIKASTAMONU;KASTAMONU;1398;2144;10000;2154;2850;10000
R10;BOLUKARABÜKÇANKIRI;ÇANKIRI;1665;2366;10000;2073;2539;10000
R11;BURSABALIKESÝR;BALIKESÝR;1053;1383;10000;1292;1645;10000
R12;BURSAÇANAKKALE;ÇANAKKALE;1638;1932;10000;1762;2233;10000
R13;SAKARYAESKÝÞEHÝR;ESKÝÞEHÝR;820;1066;10000;1205;1589;10000
R14;SAKARYABÝLECÝK;BÝLECÝK;790;1038;10000;999;1410;10000
R15;SAKARYABÝLECÝKKÜTAHYA;KÜTAHYA;1252;1816;10000;1494;2298;10000
R16;SAKARYAESKÝÞEHÝRKÜTAHYA;KÜTAHYA;1337;1940;10000;1596;2455;10000
R17;TEKÝRDAÐEDÝRNE;EDÝRNE;1346;1908;10000;1645;2233;10000
R18;MANÝSAÝZMÝRAYDINMUÐLA;MUÐLA;2106;2855;10000;2406;3169;10000
R19;KÜTAHYAAFYONISPARTA;ISPARTA;1985;2408;10000;2150;3065;10000
R20;AFYONBURDURANTALYA;ANTALYA;1844;2610;10000;2235;2766;10000
R21;AFYONISPARTAANTALYA;ANTALYA;1844;2610;10000;2235;2766;10000
R22;KÜTAHYAAFYONUÞAK;UÞAK;1287;1648;10000;1686;2229;10000
R23;KIRIKKALEYOZGATSÝVAS;SÝVAS;2136;3055;10000;2932;3908;10000
R24;ANKARAKONYAKARAMAN;KARAMAN;1757;2751;10000;2236;3299;10000
R25;ANKARAKONYAK.EREÐLÝ;KONYA;1793;2563;10000;2330;3064;10000
R26;ESKÝÞEHÝRKONYAK.EREÐLÝ;KONYA;1679;2400;10000;2181;2869;10000
R27;AFYONKONYAK.EREÐLÝ;KONYA;1705;2437;10000;2215;2913;10000
R28;ANKARAAKSARAYNÝÐDE;NÝÐDE;1755;2365;10000;2069;3065;10000
R29;ANKARAAKSARAYNEVÞEHÝR;NEVÞEHÝR;1755;2365;10000;2069;2988;10000
R30;ANKARAKIRÞEHÝRNEVÞEHÝR;NEVÞEHÝR;1755;2365;10000;2069;2988;10000
R31;ANKARAKIRÞEHÝRKAYSERÝ;KAYSERÝ;1844;2440;10000;2233;2991;10000
R32;ANKARANEVÞEHÝRNÝÐDE;NÝÐDE;1755;2365;10000;2069;3065;10000
R33;GÝRESUNTRABZONRÝZEARTVÝN;ARTVÝN;3855;6039;10000;4768;6531;10000
R34;ÇANKIRISÝNOPSAMSUN;SAMSUN;2213;2950;10000;2633;3679;10000
R35;ÇORUMAMASYATOKAT;TOKAT;2060;2925;10000;2792;3652;10000
R36;ERZÝNCANERZURUMKARS;KARS;3785;5733;10000;4783;7036;10000
R37;ERZÝNCANERZURUMARDAHAN;ARDAHAN;4127;6954;10000;5119;7355;10000
R38;ERZÝNCANERZURUMAÐRI;AÐRI;4045;6051;10000;5187;7338;10000
R39;ERZURUMAÐRIIÐDIR;IÐDIR;4041;7385;10000;5625;8008;10000
R40;ERZURUMAÐRIVAN;VAN;4021;6347;10000;5358;7971;10000
R41;DÝYARBAKIRBATMANSÝÝRT;SÝÝRT;3862;5474;10000;5160;6855;10000
R42;MARDÝNÞIRNAKHAKKARÝ;HAKKARÝ;4682;7297;10000;6717;9160;10000
R43;ADANAOSMANÝYEHATAY;HATAY;2460;3440;10000;2994;4065;10000
R44;OSMANÝYEGAZÝANTEPKÝLÝS;KÝLÝS;2918;4453;10000;3547;4473;10000
R45;ADANAMERSÝN;MERSÝN;2127;2892;10000;2614;3237;10000
R46;ADANAGAZÝANTEPADIYAMAN;ADIYAMAN;3269;4420;10000;3703;5232;10000
R47;ADANAGAZÝANTEPKAHRAMANMARAÞ;KAHRAMANMARAÞ;2840;3801;10000;3604;4712;10000
R48;MALATYAELAZIÐBÝNGÖL;BÝNGÖL;3816;5801;10000;5052;6874;10000
R49;MALATYAELAZIÐTUNCELÝ;TUNCELÝ;4488;6664;10000;5882;7867;10000
R50;ANKARAYOZGATSÝVAS;SÝVAS;2136;3055;10000;2932;3908;10000
R51;ÇORUMSAMSUN;SAMSUN;1975;2632;10000;2349;3283;10000
